"Source File","Source Field(s)","Target Table","Target Column","Final Value / Transformation","Validation / Skip Rule","Notes"
"users.csv","USERNAME","pending_user","username","Trim, uppercase, SQL quoted","If duplicated within input users.csv, row skipped","Duplicate check is case-insensitive. Additional clarification: migrated username is required; existing usernames must carry over to eliminate first-login friction. Users may change usernames later per One App rules."
"users.csv","USERNAME","pending_user","migrated_username","Same final value as pending_user.username: trim, uppercase, SQL quoted","If duplicated within input users.csv, row skipped","Stores the original migrated username separately for audit/reference while pending_user.username remains the active login username."
"users.csv","DATE_OF_BIRTH","pending_user","date_of_birth","Remove non-digits; parse yyyyddd, yyyyMMdd, or ddMMyyyy; output yyyy-MM-dd; invalid becomes NULL","Same as row rule",""
"users.csv","REGISTERED_ACCOUNT_NUMBER","pending_user","registered_account_number","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"users.csv","USER_GROUP, USER GROUP, USERGROUP, USER_GROUP_NAME, USER GROUP NAME","pending_user","user_group_id","If numeric, use numeric value. Otherwise use SELECT id FROM user_group WHERE UPPER(name)=UPPER(value) LIMIT 1. Blank becomes NULL","Same as row rule","Supports multiple source header names"
"users.csv","N/A","pending_user","migrate_user","TRUE","Same as row rule","Constant value"
"beneficiaries.csv","CIF","migrate_beneficiary","cif","Trim, blank becomes NULL, SQL quoted","Required; row skipped if missing",""
"beneficiaries.csv","N/A","migrate_beneficiary","created_date_time","CURRENT_TIMESTAMP","Row skipped before SQL generation if CIF, ACCOUNT_NUMBER, NICKNAME, or TYPE is missing","Generated by service"
"beneficiaries.csv","N/A","migrate_beneficiary","updated_date_time","CURRENT_TIMESTAMP","Same as row rule","Generated by service"
"beneficiaries.csv","ACCOUNT_NUMBER","migrate_beneficiary","account_number","Trim, blank becomes NULL, SQL quoted","Required; row skipped if missing",""
"beneficiaries.csv","BANK_CODE","migrate_beneficiary","bank_code","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"beneficiaries.csv","TYPE","migrate_beneficiary","bank_name","'Commercial Bank of Maldives' when TYPE is WITHIN_COMBANK; otherwise NULL","Same as row rule","TYPE comparison is uppercase"
"beneficiaries.csv","NICKNAME","migrate_beneficiary","nickname","Trim, blank becomes NULL, SQL quoted","Required; row skipped if missing",""
"beneficiaries.csv","PREDEFINED_LIMIT","migrate_beneficiary","predefined_limit","FALSE by default. TRUE when PREDEFINED_LIMIT is not 0, 0.0, .0, false, f, or no","Same as row rule","Stored as SQL string value"
"beneficiaries.csv","RECIPIENT_NAME, NICKNAME","migrate_beneficiary","recipient_name","Use RECIPIENT_NAME when present; otherwise NICKNAME; trim and SQL quote","Same as row rule",""
"beneficiaries.csv","PREDEFINED_LIMIT","migrate_beneficiary","transfer_limit","Numeric value if valid decimal; otherwise 0.00","Same as row rule","Leading decimal point is normalized, e.g. .5 becomes 0.5"
"beneficiaries.csv","TYPE","migrate_beneficiary","type","INTERNATIONAL maps to INTERNATIONAL_TRANSFER during preprocessing. WITHIN_COMBANK, OTHER_BANK, or blank maps to LOCAL_TRANSFER. Other values pass through","Required; row skipped if missing","Final SQL has ON CONFLICT DO NOTHING in active service"
"beneficiaries.csv","N/A","migrate_beneficiary","type_description","'Fund Transfer'","Same as row rule","Constant value"
"beneficiaries.csv","N/A","migrate_beneficiary","recipient_country","NULL","Same as row rule","Not sourced from CSV"
"beneficiaries.csv","N/A","migrate_beneficiary","recipient_country_code","NULL","Same as row rule","Not sourced from CSV"
"beneficiaries.csv","BANK_CODE","migrate_beneficiary","bank_bic","Trim, blank becomes NULL, SQL quoted","Same as row rule","Same source as bank_code"
"beneficiaries.csv","TYPE","migrate_beneficiary","is_intra_group","TRUE when TYPE is WITHIN_COMBANK; otherwise FALSE","Same as row rule","TYPE comparison is uppercase"
"beneficiaries.csv","TYPE","migrate_beneficiary","is_combank","TRUE when TYPE is WITHIN_COMBANK; otherwise FALSE","Same as row rule","TYPE comparison is uppercase"
"templates.csv","N/A","migrate_template","created_date_time","CURRENT_TIMESTAMP","Row skipped before SQL generation if CIF, TEMPLATE_NAME, or RECIPIENT_BANK is missing","Generated by service"
"templates.csv","N/A","migrate_template","updated_date_time","CURRENT_TIMESTAMP","Same as row rule","Generated by service"
"templates.csv","AMOUNT","migrate_template","amount","Numeric value if valid decimal; otherwise 1.0","Same as row rule","Leading decimal point is normalized, e.g. .5 becomes 0.5"
"templates.csv","FROM_ACCOUNT","migrate_template","from_account","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"templates.csv","NOTE_TO_RECIPIENT","migrate_template","note_to_recipient","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"templates.csv","PERSONAL_NOTE","migrate_template","personal_note","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"templates.csv","RECIPIENT_BANK","migrate_template","recipient_bank","Trim, blank becomes NULL, SQL quoted","Required; row skipped if missing",""
"templates.csv","RECIPIENT_NAME","migrate_template","recipient_name","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"templates.csv","TEMPLATE_NAME","migrate_template","template_name","Trim, blank becomes NULL, SQL quoted","Required; row skipped if missing",""
"templates.csv","TO_ACCOUNT","migrate_template","to_account","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"templates.csv","CIF","migrate_template","cif","Trim, blank becomes NULL, SQL quoted","Required; row skipped if missing",""
"templates.csv","CURRENCY_CODE","migrate_template","currency_code","Use CURRENCY_CODE when present; otherwise MVR; SQL quoted","Same as row rule","Default currency is MVR"
"templates.csv","BANK_CODE","migrate_template","bank_code","Trim, blank becomes NULL, SQL quoted","Same as row rule","Also used to derive is_combank"
"templates.csv","N/A","migrate_template","charges","NULL","Same as row rule","Not sourced from CSV"
"templates.csv","PURPOSE","migrate_template","purpose","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"templates.csv","RECIPIENT_COUNTRY","migrate_template","recipient_country","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"templates.csv","TEMPLATE_TYPE","migrate_template","transfer_type","INTRABANK or DOMESTIC_PAYMENT maps to LOCAL_TRANSFER; other values pass through; blank becomes NULL","Same as row rule",""
"templates.csv","RECIPIENT_COUNTRY_CODE","migrate_template","recipient_country_code","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"templates.csv","N/A","migrate_template","charge_option","NULL","Same as row rule","Not sourced from CSV"
"templates.csv","INTERMEDIARY_BANK_SWIFT_CODE","migrate_template","intermediary_bank_swift_code","Use source value when present; otherwise empty string; SQL quoted","Same as row rule","Empty string is inserted as ''"
"templates.csv","RECIPIENT_ADDRESS","migrate_template","recipient_address","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"templates.csv","SWIFT_CODE","migrate_template","swift_code","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"templates.csv","BANK_CODE","migrate_template","is_combank","TRUE when BANK_CODE is 66; otherwise FALSE","Same as row rule","Final SQL has ON CONFLICT DO NOTHING in active service"
"generated output","N/A","migration data CSV","insert_index","Sequential generated insert number","Only generated for rows that produce SQL","Used to trace DB execution back to source file and source row"
"generated output","N/A","migration data CSV","source_file","users CSV, beneficiaries CSV, or templates CSV","Only generated for rows that produce SQL",""
"generated output","N/A","migration data CSV","source_row","Original source CSV row number","Only generated for rows that produce SQL","Preprocessing remaps generated row numbers back to original input row numbers"
"generated output","N/A","migration data CSV","target_table","pending_user, migrate_beneficiary, or migrate_template","Only generated for rows that produce SQL",""
"generated output","N/A","migration data CSV","column_name","Target DB column name","One row per target column",""
"generated output","N/A","migration data CSV","final_sql_value","Final SQL value after transformation","One row per target column","Used to create successful migration CSV files after DB execution"
"users.csv","FDAACCOUNT_CREATED_ON, FDAACCOUNT CREATED ON, FDA_ACCOUNT_CREATED_ON, FDA ACCOUNT CREATED ON, FDAAccount Created on","pending_user","fda_account_created_date_time","Use source account-created date/time when present; otherwise CURRENT_TIMESTAMP. Value is SQL quoted when sourced.","Same as users row rule","Required. Original account creation date must be migrated and retained for audit trail."
"users.csv","FDAACCOUNT_STATUS, FDA ACCOUNT STATUS, FDA_ACCOUNT_STATUS, FDAACCOUNT_STATUS, FDAACCOUNT STATUS, ACCOUNT_STATUS, STATUS","pending_user","fda_account_status","Use source status when present; otherwise IN_PROGRESS. Value is SQL quoted.","Same as users row rule","Required. Status must migrate one-to-one once bank confirms full status mapping."
"users.csv","REMARKS, LOCK_REASON, LOCK REASON, REMARKS_LOCK_REASON, REMARKS / LOCK REASON, REMARKS/LOCK_REASON","pending_user","fda_account_remarks","Trim, blank becomes NULL, SQL quoted","Same as users row rule","Required. Lock reasons must migrate verbatim and remain visible only to authorised back-office users."
"users.csv","NUMBER_OF_OTP_ATTEMPTS, NUMBER OF OTP ATTEMPTS, OTP_ATTEMPTS, OTP ATTEMPTS","pending_user","number_of_otp_attempts","Integer value when valid; blank or invalid value becomes NULL","Same as users row rule","Imported from users.csv as an additional migration parameter."
"users.csv","NUMBER_OF_LOGIN_ATTEMPTS, NUMBER OF LOGIN ATTEMPTS, LOGIN_ATTEMPTS, LOGIN ATTEMPTS","pending_user","number_of_login_attempts","Integer value when valid; blank or invalid value becomes NULL","Same as users row rule","Imported from users.csv as an additional migration parameter."
